MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.333,0.0,121.5,108.333,108.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.667,0.0,121.5,108.334,216.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325.0,0.0,121.5,108.333,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433.333,0.0,121.5,108.333,433.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541.667,0.0,121.5,108.334,541.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650.0,0.0,121.5,108.333,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750.0,2.5,121.5,100.0,749.968272,-1.139734,1.859877,2.181315,0.75,0.0,0.75,0.0
850.0,5.0,121.5,100.0,849.746249,-4.556767,7.435968,8.721109,0.75,0.0,0.75,0.0
950.0,7.5,121.5,100.0,949.143997,-10.244594,16.717659,19.606933,0.75,0.0,0.75,0.0
1050.0,10.0,121.5,100.0,1047.972308,-18.192389,29.687281,34.818065,0.75,0.0,0.75,0.0
1150.0,12.5,121.5,100.0,1146.043056,-28.385022,46.320146,54.32555,0.75,0.0,0.75,0.0
1250.0,15.0,121.5,100.0,1243.169558,-40.803091,66.584592,78.092254,0.75,0.0,0.75,0.0
1350.0,17.5,121.5,100.0,1339.166928,-55.422957,90.442045,106.072936,0.75,0.0,0.75,0.0
1450.0,20.0,121.5,100.0,1433.852429,-72.216791,117.847091,138.214332,0.75,0.0,0.75,0.0
1545.833,22.25,121.5,95.833,1523.239359,-90.261991,147.294181,172.750696,0.70435,0.0,0.70435,0.0
1641.667,24.5,121.5,95.834,1611.202402,-110.127098,179.711089,210.770143,0.704343,0.0,0.704343,0.0
1737.5,26.75,121.5,95.833,1697.604091,-131.781067,215.047155,252.21326,0.70435,0.0,0.70435,0.0
1833.333,29.0,121.5,95.833,1782.312118,-155.190716,253.248231,297.01654,0.70435,0.0,0.70435,0.0
1929.167,31.25,121.5,95.834,1865.196734,-180.320212,294.255842,345.111401,0.704343,0.0,0.704343,0.0
2025.0,33.5,121.5,95.833,1946.128409,-207.130283,338.005902,396.422683,0.70435,0.0,0.70435,0.0
2120.833,35.75,121.5,95.833,2024.983218,-235.579852,384.431379,450.871769,0.70435,0.0,0.70435,0.0
2216.667,38.0,121.5,95.834,2101.640371,-265.625365,433.4612,508.375301,0.704343,0.0,0.704343,0.0
2312.5,40.25,121.5,95.833,2175.980071,-297.219868,485.018742,568.843415,0.70435,0.0,0.70435,0.0
2408.333,42.5,121.5,95.833,2247.88849,-330.314957,539.025019,632.183472,0.70435,0.0,0.70435,0.0
2504.167,44.75,121.5,95.834,2317.255475,-364.859963,595.397346,698.298498,0.704343,0.0,0.704343,0.0
2600.0,47.0,121.5,95.833,2383.972621,-400.8009,654.047625,767.085169,0.70435,0.0,0.70435,0.0
2700.0,48.1538,121.5,100.0,2451.431487,-439.370226,716.987045,840.902264,0.34614,0.0,0.34614,0.0
2800.0,49.3077,121.5,100.0,2517.39021,-478.641508,781.071952,916.062818,0.34617,0.0,0.34617,0.0
2900.0,50.4615,121.5,100.0,2581.822042,-518.598819,846.276357,992.536351,0.34614,0.0,0.34614,0.0
3000.0,51.6154,121.5,100.0,2644.700852,-559.225955,912.573817,1070.291848,0.34617,0.0,0.34617,0.0
3100.0,52.7692,121.5,100.0,2706.00114,-600.506439,979.937445,1149.297777,0.34614,0.0,0.34614,0.0
3200.0,53.9231,121.5,100.0,2765.698046,-642.423531,1048.339922,1229.522096,0.34617,0.0,0.34617,0.0
3300.0,55.0769,121.5,100.0,2823.76736,-684.960231,1117.753508,1310.932273,0.34614,0.0,0.34614,0.0
3400.0,56.2308,121.5,100.0,2880.185533,-728.099289,1188.150052,1393.495289,0.34617,0.0,0.34617,0.0
3500.0,57.3846,121.5,100.0,2934.929685,-771.82321,1259.501006,1477.177664,0.34614,0.0,0.34614,0.0
3600.0,58.5385,121.5,100.0,2987.977614,-816.114262,1331.777434,1561.94546,0.34617,0.0,0.34617,0.0
3700.0,59.6923,121.5,100.0,3039.307807,-860.954483,1404.950024,1647.764301,0.34614,0.0,0.34614,0.0
3800.0,60.8462,121.5,100.0,3088.899447,-906.325688,1478.989101,1734.599382,0.34617,0.0,0.34617,0.0
3900.0,62.0,121.5,100.0,3136.732423,-952.209477,1553.86464,1822.415487,0.34614,0.0,0.34614,0.0
4000.0,62.0,121.5,100.0,3183.679579,-998.343362,1629.148298,1910.710246,0.0,0.0,0.0,0.0
4100.0,62.0,121.5,100.0,3230.626735,-1044.477247,1704.431956,1999.005006,0.0,0.0,0.0,0.0
4200.0,62.0,121.5,100.0,3277.573891,-1090.611132,1779.715614,2087.299765,0.0,0.0,0.0,0.0
4300.0,62.0,121.5,100.0,3324.521047,-1136.745017,1854.999272,2175.594524,0.0,0.0,0.0,0.0
4400.0,62.0,121.5,100.0,3371.468203,-1182.878902,1930.28293,2263.889283,0.0,0.0,0.0,0.0
4500.0,62.0,121.5,100.0,3418.415359,-1229.012787,2005.566588,2352.184042,0.0,0.0,0.0,0.0
4600.0,62.0,121.5,100.0,3465.362515,-1275.146672,2080.850246,2440.478802,0.0,0.0,0.0,0.0
4700.0,62.0,121.5,100.0,3512.309671,-1321.280557,2156.133904,2528.773561,0.0,0.0,0.0,0.0
4800.0,62.0,121.5,100.0,3559.256827,-1367.414442,2231.417562,2617.06832,0.0,0.0,0.0,0.0
4900.0,62.0,121.5,100.0,3606.203983,-1413.548327,2306.70122,2705.363079,0.0,0.0,0.0,0.0
5000.0,62.0,121.5,100.0,3653.151139,-1459.682212,2381.984878,2793.657839,0.0,0.0,0.0,0.0
5100.0,62.0,121.5,100.0,3700.098295,-1505.816097,2457.268536,2881.952598,0.0,0.0,0.0,0.0
5200.0,62.0,121.5,100.0,3747.045451,-1551.949982,2532.552194,2970.247357,0.0,0.0,0.0,0.0
