MD,INC,AZI
0.0,0.0,121.5
108.333,0.0,121.5
216.667,0.0,121.5
325.0,0.0,121.5
433.333,0.0,121.5
541.667,0.0,121.5
650.0,0.0,121.5
750.0,2.5,121.5
850.0,5.0,121.5
950.0,7.5,121.5
1050.0,10.0,121.5
1150.0,12.5,121.5
1250.0,15.0,121.5
1350.0,17.5,121.5
1450.0,20.0,121.5
1545.833,22.25,121.5
1641.667,24.5,121.5
1737.5,26.75,121.5
1833.333,29.0,121.5
1929.167,31.25,121.5
2025.0,33.5,121.5
2120.833,35.75,121.5
2216.667,38.0,121.5
2312.5,40.25,121.5
2408.333,42.5,121.5
2504.167,44.75,121.5
2600.0,47.0,121.5
2700.0,48.1538,121.5
2800.0,49.3077,121.5
2900.0,50.4615,121.5
3000.0,51.6154,121.5
3100.0,52.7692,121.5
3200.0,53.9231,121.5
3300.0,55.0769,121.5
3400.0,56.2308,121.5
3500.0,57.3846,121.5
3600.0,58.5385,121.5
3700.0,59.6923,121.5
3800.0,60.8462,121.5
3900.0,62.0,121.5
4000.0,62.0,121.5
4100.0,62.0,121.5
4200.0,62.0,121.5
4300.0,62.0,121.5
4400.0,62.0,121.5
4500.0,62.0,121.5
4600.0,62.0,121.5
4700.0,62.0,121.5
4800.0,62.0,121.5
4900.0,62.0,121.5
5000.0,62.0,121.5
5100.0,62.0,121.5
5200,62,121.5
