MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,121.5,0.0,0.00589,0.019378,0.003973,0.002986,0.002877,0.0,0.004725,0.00099
108.333,0.0,121.5,108.333,108.344131,0.017552,0.007788,0.00589,0.005049,0.0,0.003929,0.001918
216.667,0.0,121.5,108.334,216.682146,0.014634,0.011293,0.00863,0.005985,0.0,0.002702,0.002727
325.0,0.0,121.5,108.333,325.017495,0.010806,0.014347,0.011131,0.005456,0.0,0.001176,0.003366
433.333,0.0,121.5,108.333,433.350917,0.006306,0.016829,0.013323,0.003591,0.0,-0.000479,0.003796
541.667,0.0,121.5,108.334,541.683367,0.001415,0.018641,0.015146,0.000847,0.0,-0.002081,0.00399
650.0,0.0,121.5,108.333,650.013016,-0.003565,0.019709,0.01655,-0.002105,0.0,-0.003454,0.003936
750.0,2.5,121.5,100.0,749.976503,-1.148057,1.879868,2.19881,0.745459,0.0,0.745553,0.003637
850.0,5.0,121.5,100.0,849.748789,-4.56933,7.455445,8.739064,0.744135,0.0,0.74505,0.003112
950.0,7.5,121.5,100.0,949.140567,-10.260617,16.735845,19.62485,0.744246,0.0,0.745092,0.002394
1050.0,10.0,121.5,100.0,1047.963285,-18.210875,29.703451,34.835448,0.745767,0.0,0.745674,0.001527
1150.0,12.5,121.5,100.0,1146.029434,-28.404822,46.333655,54.341917,0.748324,0.0,0.746732,0.000564
1250.0,15.0,121.5,100.0,1243.152836,-40.822974,66.594902,78.107152,0.751291,0.0,0.74815,-0.000433
1350.0,17.5,121.5,100.0,1339.148947,-55.441686,90.448745,106.085952,0.753942,0.0,0.749771,-0.001403
1450.0,20.0,121.5,100.0,1433.835168,-72.233202,117.849913,138.225104,0.755628,0.0,0.751418,-0.002286
1545.833,22.25,121.5,95.833,1523.224719,-90.275064,147.293014,172.758927,0.710286,0.0,0.707259,-0.003027
1641.667,24.5,121.5,95.834,1611.191994,-110.13602,179.705978,210.775604,0.709134,0.0,0.708422,-0.00358
1737.5,26.75,121.5,95.833,1697.599062,-131.785283,215.038305,252.2158,0.706823,0.0,0.709151,-0.00391
1833.333,29.0,121.5,95.833,1782.31302,-155.189964,253.235994,297.016089,0.703899,0.0,0.709344,-0.003997
1929.167,31.25,121.5,95.834,1865.203469,-180.314539,294.240706,345.107971,0.701079,0.0,0.70898,-0.003836
2025.0,33.5,121.5,95.833,1946.140235,-207.120041,337.98847,396.416369,0.699072,0.0,0.70812,-0.003436
2120.833,35.75,121.5,95.833,2024.998833,-235.565679,384.412347,450.862746,0.69835,0.0,0.706837,-0.002822
2216.667,38.0,121.5,95.834,2101.658056,-265.608141,433.441326,508.363819,0.69909,0.0,0.705274,-0.002033
2312.5,40.25,121.5,95.833,2175.997879,-297.200665,484.998819,568.829793,0.701131,0.0,0.703622,-0.001118
2408.333,42.5,121.5,95.833,2247.904461,-330.294968,539.005841,632.168086,0.703952,0.0,0.702044,-0.000133
2504.167,44.75,121.5,95.834,2317.267851,-364.840431,595.379677,698.281776,0.706864,0.0,0.700712,0.00086
2600.0,47.0,121.5,95.833,2383.980039,-400.78304,654.03217,767.067573,0.709173,0.0,0.699794,0.0018
2700.0,48.1538,121.5,100.0,2451.433131,-439.355148,716.97442,840.884283,0.352084,0.0,0.341161,0.002628
2800.0,49.3077,121.5,100.0,2517.385898,-478.63015,781.06266,916.044949,0.351779,0.0,0.341316,0.003292
2900.0,50.4615,121.5,100.0,2581.81225,-518.591886,846.270769,992.51909,0.350042,0.0,0.341945,0.003752
