MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.5,75.0,75.0,74.999048,0.084698,0.316096,0.327247,0.2,0.0,0.2,0.0
150.0,1.0,75.0,75.0,149.992385,0.338785,1.264361,1.308963,0.2,0.0,0.2,0.0
225.0,1.5,75.0,75.0,224.974299,0.762242,2.844723,2.945074,0.2,0.0,0.2,0.0
300.0,2.0,75.0,75.0,299.93908,1.355036,5.057061,5.235455,0.2,0.0,0.2,0.0
375.0,2.5,75.0,75.0,374.88102,2.117123,7.901207,8.179932,0.2,0.0,0.2,0.0
450.0,3.0,75.0,75.0,449.794411,3.048444,11.376944,11.77828,0.2,0.0,0.2,0.0
525.0,3.5,75.0,75.0,524.673549,4.148928,15.484008,16.030225,0.2,0.0,0.2,0.0
600.0,4.0,75.0,75.0,599.512731,5.418492,20.222086,20.935444,0.2,0.0,0.2,0.0
676.0,8.4,84.0,76.0,675.051222,6.685458,28.307398,29.086151,1.773442,63.946505,1.736842,3.552632
752.0,12.8,93.0,76.0,749.740922,6.825181,42.243225,42.79104,1.850591,63.946505,1.736842,3.552632
828.0,17.2,102.0,76.0,823.143133,4.046549,61.654036,61.786687,1.960282,63.946505,1.736842,3.552632
904.0,21.6,111.0,76.0,894.826484,-3.308109,85.722209,85.786017,2.095081,63.946505,1.736842,3.552632
980.0,26.0,120.0,76.0,964.369409,-16.661266,113.230801,114.450042,2.247634,63.946505,1.736842,3.552632
1080.0,34.0,144.0,100.0,1051.211379,-50.415432,148.831733,157.138794,4.285865,71.565051,2.4,7.2
1180.0,42.0,168.0,100.0,1130.38048,-106.154943,172.388627,202.451749,5.004218,71.565051,2.4,7.2
1266.667,42.6667,169.0,86.667,1194.448503,-163.347326,184.021229,246.061297,0.328021,56.30861,0.23078,0.346153
1353.333,43.3333,170.0,86.666,1257.832394,-221.462391,194.788947,294.937832,0.330112,56.312577,0.230748,0.346157
1440.0,44.0,171.0,86.667,1320.525034,-280.480603,204.661981,347.2116,0.332234,56.30861,0.23078,0.346153
1526.667,44.6667,172.0,86.667,1382.517152,-340.379582,213.610761,401.855468,0.334324,56.30861,0.23078,0.346153
1613.333,45.3333,173.0,86.666,1443.7997,-401.135942,221.60635,458.278756,0.336383,56.312577,0.230748,0.346157
1700.0,46.0,174.0,86.667,1504.365796,-462.727605,228.620739,516.124286,0.338468,56.30861,0.23078,0.346153
1780.0,43.6,170.6,80.0,1561.135572,-518.574247,236.135902,569.806471,1.271433,234.782407,-0.9,-1.275
1860.0,41.2,167.2,80.0,1620.215558,-571.496243,246.481371,622.38334,1.244399,234.782407,-0.9,-1.275
1940.0,38.8,163.8,80.0,1681.502059,-621.271322,259.314744,673.21779,1.216979,234.782407,-0.9,-1.275
2020.0,36.4,160.4,80.0,1744.887515,-667.713516,274.273771,721.850013,1.189342,234.782407,-0.9,-1.275
2100.0,34.0,157.0,80.0,1810.260696,-710.674961,290.980136,767.937718,1.161677,234.782407,-0.9,-1.275
2180.0,31.6,153.6,80.0,1877.506892,-750.047309,309.043396,811.220553,1.13418,234.782407,-0.9,-1.275
2260.0,29.2,150.2,80.0,1946.508119,-785.762735,328.065049,851.498533,1.107065,234.782407,-0.9,-1.275
2340.0,26.8,146.8,80.0,2017.143323,-817.794526,347.642676,888.618769,1.080557,234.782407,-0.9,-1.275
2420.0,24.4,143.4,80.0,2089.288595,-846.157251,367.374124,922.467257,1.054895,234.782407,-0.9,-1.275
2500.0,22.0,140.0,80.0,2162.817386,-870.906504,386.861683,952.963851,1.03033,234.782407,-0.9,-1.275
2575.0,21.125,139.5,75.0,2232.56806,-891.945126,404.669146,979.450471,0.357632,209.744881,-0.35,-0.2
2650.0,20.25,139.0,75.0,2302.731518,-912.018198,421.962126,1004.902597,0.357057,209.744881,-0.35,-0.2
2725.0,19.375,138.5,75.0,2373.291397,-931.131718,438.721106,1029.311655,0.356501,209.744881,-0.35,-0.2
2800.0,18.5,138.0,75.0,2444.231241,-949.292172,454.926763,1052.669932,0.355965,209.744881,-0.35,-0.2
2875.0,17.625,137.5,75.0,2515.534506,-966.506532,470.559977,1074.970497,0.355448,209.744881,-0.35,-0.2
2950.0,16.75,137.0,75.0,2587.184563,-982.782251,485.601846,1096.207145,0.354952,209.744881,-0.35,-0.2
3025.0,15.875,136.5,75.0,2659.164702,-998.127257,500.033693,1116.374361,0.354476,209.744881,-0.35,-0.2
3100.0,15.0,136.0,75.0,2731.458136,-1012.549947,513.837081,1135.467279,0.354023,209.744881,-0.35,-0.2
