MD,INC,AZI
0.0,0.0,75.0
75.0,0.5,75.0
150.0,1.0,75.0
225.0,1.5,75.0
300.0,2.0,75.0
375.0,2.5,75.0
450.0,3.0,75.0
525.0,3.5,75.0
600.0,4.0,75.0
676.0,8.4,84.0
752.0,12.8,93.0
828.0,17.2,102.0
904.0,21.6,111.0
980.0,26.0,120.0
1080.0,34.0,144.0
1180.0,42.0,168.0
1266.667,42.6667,169.0
1353.333,43.3333,170.0
1440.0,44.0,171.0
1526.667,44.6667,172.0
1613.333,45.3333,173.0
1700.0,46.0,174.0
1780.0,43.6,170.6
1860.0,41.2,167.2
1940.0,38.8,163.8
2020.0,36.4,160.4
2100.0,34.0,157.0
2180.0,31.6,153.6
2260.0,29.2,150.2
2340.0,26.8,146.8
2420.0,24.4,143.4
2500.0,22.0,140.0
2575.0,21.125,139.5
2650.0,20.25,139.0
2725.0,19.375,138.5
2800.0,18.5,138.0
2875.0,17.625,137.5
2950.0,16.75,137.0
3025.0,15.875,136.5
3100,15,136
