MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,121.5,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,121.5,100.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.0,121.5,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,0.0,121.5,100.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,121.5,100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,0.0,121.5,100.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,0.0,121.5,100.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0,121.5,100.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,3.5,121.5,100.0,899.937819,-1.595385,2.603431,3.053377,1.05,0.0,1.05,0.0
1000.0,7.0,121.5,100.0,999.50283,-6.375588,10.404014,12.202115,1.05,0.0,1.05,0.0
1100.0,10.5,121.5,100.0,1098.323615,-14.322777,23.372648,27.412089,1.05,0.0,1.05,0.0
1200.0,14.0,121.5,100.0,1196.031532,-25.407306,41.460956,48.626557,1.05,0.0,1.05,0.0
1300.0,17.5,121.5,100.0,1292.262092,-39.587825,64.601461,75.766382,1.05,0.0,1.05,0.0
1400.0,21.0,121.5,100.0,1386.656316,-56.811436,92.707839,108.730321,1.05,0.0,1.05,0.0
1500.0,24.5,121.5,100.0,1478.862075,-77.013887,125.675242,147.395405,1.05,0.0,1.05,0.0
1600.0,28.0,121.5,100.0,1568.535405,-100.119815,163.380689,191.617397,1.05,0.0,1.05,0.0
1700.0,31.5,121.5,100.0,1655.341788,-126.043025,205.683523,241.231333,1.05,0.0,1.05,0.0
1800.0,35.0,121.5,100.0,1738.957401,-154.686813,252.425938,296.052131,1.05,0.0,1.05,0.0
1900.0,39.125,121.5,100.0,1818.738024,-186.170261,303.802256,356.3077,1.2375,0.0,1.2375,0.0
2000.0,43.25,121.5,100.0,1893.977632,-220.570682,359.938642,422.146008,1.2375,0.0,1.2375,0.0
2100.0,47.375,121.5,100.0,1964.286407,-257.709848,420.544252,493.225946,1.2375,0.0,1.2375,0.0
2200.0,51.5,121.5,100.0,2029.300078,-297.395339,485.305087,569.179247,1.2375,0.0,1.2375,0.0
