MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,121.5,0.0,0.00589,0.019378,0.003973,0.002986,0.002877,0.0,0.004725,0.00099
100.0,0.0,121.5,100.0,100.011131,0.017552,0.007788,0.00589,0.005049,0.0,0.003929,0.001918
200.0,0.0,121.5,100.0,200.015146,0.014634,0.011293,0.00863,0.005985,0.0,0.002702,0.002727
300.0,0.0,121.5,100.0,300.017495,0.010806,0.014347,0.011131,0.005456,0.0,0.001176,0.003366
400.0,0.0,121.5,100.0,400.017917,0.006306,0.016829,0.013323,0.003591,0.0,-0.000479,0.003796
500.0,0.0,121.5,100.0,500.016367,0.001415,0.018641,0.015146,0.000847,0.0,-0.002081,0.00399
600.0,0.0,121.5,100.0,600.013016,-0.003565,0.019709,0.01655,-0.002105,0.0,-0.003454,0.003936
700.0,0.0,121.5,100.0,700.008231,-0.008323,0.019991,0.017495,-0.004541,0.0,-0.004447,0.003637
800.0,0.0,121.5,100.0,800.00254,-0.012563,0.019477,0.017955,-0.005865,0.0,-0.00495,0.003112
900.0,3.5,121.5,100.0,899.934389,-1.611408,2.621617,3.071294,1.044246,0.0,1.045092,0.002394
1000.0,7.0,121.5,100.0,999.493807,-6.394074,10.420184,12.219498,1.045767,0.0,1.045674,0.001527
1100.0,10.5,121.5,100.0,1098.309993,-14.342577,23.386157,27.428456,1.048324,0.0,1.046732,0.000564
1200.0,14.0,121.5,100.0,1196.01481,-25.427189,41.471266,48.641455,1.051291,0.0,1.04815,-0.000433
1300.0,17.5,121.5,100.0,1292.244111,-39.606554,64.608161,75.779398,1.053942,0.0,1.049771,-0.001403
1400.0,21.0,121.5,100.0,1386.639055,-56.827847,92.710661,108.741093,1.055628,0.0,1.051418,-0.002286
1500.0,24.5,121.5,100.0,1478.847435,-77.02696,125.674075,147.403636,1.055936,0.0,1.052909,-0.003027
1600.0,28.0,121.5,100.0,1568.524997,-100.128737,163.375578,191.622858,1.054791,0.0,1.054079,-0.00358
1700.0,31.5,121.5,100.0,1655.336759,-126.047241,205.674673,241.233873,1.052473,0.0,1.054801,-0.00391
1800.0,35.0,121.5,100.0,1738.958303,-154.686061,252.413701,296.05168,1.049549,0.0,1.054994,-0.003997
1900.0,39.125,121.5,100.0,1818.744759,-186.164588,303.78712,356.30427,1.234236,0.0,1.242137,-0.003836
2000.0,43.25,121.5,100.0,1893.989458,-220.56044,359.92121,422.139694,1.232222,0.0,1.24127,-0.003436
2100.0,47.375,121.5,100.0,1964.302022,-257.695675,420.52522,493.216923,1.2315,0.0,1.239987,-0.002822
2200.0,51.5,121.5,100.0,2029.317763,-297.378115,485.285213,569.167765,1.232247,0.0,1.238431,-0.002033
2300.0,55.625,121.5,100.0,2088.699616,-339.402341,553.865698,649.598775,1.234281,0.0,1.236772,-0.001118
2400.0,59.75,121.5,100.0,2142.13991,-383.550736,625.911358,734.093283,1.237102,0.0,1.235194,-0.000133
2500.0,63.875,121.5,100.0,2189.361962,-429.594612,701.048898,822.213565,1.240021,0.0,1.233869,0.00086
2600.0,68.0,121.5,100.0,2230.121491,-477.295389,778.888977,913.503095,1.242323,0.0,1.232944,0.0018
2700.0,71.4167,121.5,100.0,2264.790475,-526.298113,858.852446,1007.282761,1.030954,0.0,1.020031,0.002628
2800.0,74.8333,121.5,100.0,2293.808686,-576.294421,940.436267,1102.962729,1.030589,0.0,1.020126,0.003292
2900.0,78.25,121.5,100.0,2317.073603,-627.106359,1023.350297,1200.202864,1.028912,0.0,1.020815,0.003752
3000.0,81.6667,121.5,100.0,2334.503018,-678.553048,1107.299663,1298.657488,1.026249,0.0,1.021936,0.003978
3100.0,85.0833,121.5,100.0,2346.035527,-730.451304,1191.985776,1397.976558,1.023253,0.0,1.023365,0.003957
3200.0,88.5,121.5,100.0,2351.630434,-782.616341,1277.107438,1497.806967,1.020739,0.0,1.025032,0.00369
3300.0,88.5208,121.5125,100.0,2354.231001,-834.862162,1362.340592,1597.775464,0.001511,31.004248,0.007897,0.006944
3400.0,88.5417,121.525,100.0,2356.797059,-887.126319,1447.562755,1697.745184,0.001451,30.883058,0.009379,0.006249
3500.0,88.5625,121.5375,100.0,2359.328291,-939.40858,1532.773779,1797.71604,0.002774,31.004248,0.010459,0.005398
3600.0,88.5833,121.55,100.0,2361.824294,-991.708772,1617.973539,1897.687933,0.005225,31.004248,0.011105,0.004446
3700.0,88.6042,121.5625,100.0,2364.284376,-1044.026797,1703.161937,1997.660772,0.008204,30.883058,0.011245,0.003449
3800.0,88.625,121.575,100.0,2366.707881,-1096.362631,1788.338903,2097.634456,0.010913,31.004248,0.010777,0.002472
3900.0,88.6458,121.5875,100.0,2369.09426,-1148.716322,1873.504394,2197.608885,0.012758,31.004248,0.00984,0.001574
4000.0,88.6667,121.6,100.0,2371.442884,-1201.088001,1958.658405,2297.583967,0.013286,30.883058,0.008537,0.000811
4100.0,88.6875,121.6125,100.0,2373.753362,-1253.477856,2043.800958,2397.559612,0.0123,31.004248,0.006924,0.000231
4200.0,88.7083,121.625,100.0,2376.025584,-1305.886129,2128.932106,2497.535736,0.01011,31.004248,0.005265,-0.00013
4300.0,88.7292,121.6375,100.0,2378.259481,-1358.313103,2214.051929,2597.51227,0.007252,30.883058,0.003744,-0.00025
4400.0,88.75,121.65,100.0,2380.455287,-1410.759076,2299.160533,2697.48915,0.004357,31.004248,0.002442,-0.000121
4500.0,88.7708,121.6625,100.0,2382.61351,-1463.224345,2384.258038,2797.466327,0.002203,31.004248,0.001587,0.000248
4600.0,88.7917,121.675,100.0,2384.734626,-1515.709189,2469.34458,2897.443763,0.001317,30.883058,0.001274,0.000835
4700.0,88.8125,121.6875,100.0,2386.819279,-1568.21385,2554.420301,2997.421434,0.001847,31.004248,0.001452,0.001604
4800.0,88.8333,121.7,100.0,2388.868207,-1620.738517,2639.485344,3097.399333,0.003732,31.004248,0.002186,0.002506
4900.0,88.8542,121.7125,100.0,2390.881912,-1673.283312,2724.539849,3197.377462,0.006511,30.883058,0.003397,0.003485
5000.0,88.875,121.725,100.0,2392.860856,-1725.848286,2809.58394,3297.35584,0.009434,31.004248,0.004864,0.00448
5100.0,88.8958,121.7375,100.0,2394.805409,-1778.433411,2894.617725,3397.334494,0.011855,31.004248,0.006513,0.005431
5200.0,88.9167,121.75,100.0,2396.715557,-1831.038584,2979.641293,3497.313469,0.013181,30.883058,0.008161,0.006276
5300.0,88.9375,121.7625,100.0,2398.591156,-1883.663632,3064.654704,3597.292812,0.013018,31.004248,0.009542,0.006965
5400.0,88.9583,121.775,100.0,2400.431947,-1936.30832,3149.657987,3697.272583,0.011475,31.004248,0.010588,0.007454
5500.0,88.9792,121.7875,100.0,2402.237332,-1988.972369,3234.651143,3797.252844,0.008931,30.883058,0.011187,0.007712
5600.0,89.0,121.8,100.0,2404.006693,-2041.655472,3319.634141,3897.233663,0.005937,31.004248,0.011184,0.007725
