MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.5,0.0,118.0,112.5,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,0.0,118.0,112.5,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337.5,0.0,118.0,112.5,337.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450.0,0.0,118.0,112.5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562.5,0.0,118.0,112.5,562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675.0,0.0,118.0,112.5,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787.5,0.0,118.0,112.5,787.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,118.0,112.5,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014.286,4.0,118.0,114.286,1014.193187,-1.872118,3.520942,3.987714,1.049997,0.0,1.049997,0.0
1128.571,8.0,118.0,114.285,1127.829042,-7.479303,14.066523,15.931323,1.050007,0.0,1.050007,0.0
1242.857,12.0,118.0,114.286,1240.355926,-16.794335,31.58555,35.772848,1.049997,0.0,1.049997,0.0
1357.143,16.0,118.0,114.286,1351.224625,-29.771783,55.99258,63.415519,1.049997,0.0,1.049997,0.0
1471.429,20.0,118.0,114.286,1459.894998,-46.348422,87.168704,98.724664,1.049997,0.0,1.049997,0.0
1585.714,24.0,118.0,114.285,1565.836687,-66.443317,124.961705,141.527884,1.050007,0.0,1.050007,0.0
1700.0,28.0,118.0,114.286,1668.535405,-89.958918,169.188118,191.617396,1.049997,0.0,1.049997,0.0
1823.077,28.0,118.0,123.077,1777.205946,-117.085526,220.205847,249.398547,0.0,0.0,0.0,0.0
1946.154,28.0,118.0,123.077,1885.876487,-144.212134,271.223576,307.179699,0.0,0.0,0.0,0.0
2069.231,28.0,118.0,123.077,1994.547028,-171.338742,322.241305,364.960851,0.0,0.0,0.0,0.0
2192.308,28.0,118.0,123.077,2103.217569,-198.46535,373.259034,422.742003,0.0,0.0,0.0,0.0
2315.385,28.0,118.0,123.077,2211.88811,-225.591958,424.276763,480.523155,0.0,0.0,0.0,0.0
2438.462,28.0,118.0,123.077,2320.558651,-252.718566,475.294492,538.304307,0.0,0.0,0.0,0.0
2561.538,28.0,118.0,123.076,2429.228309,-279.844953,526.311806,596.08499,0.0,0.0,0.0,0.0
2684.615,28.0,118.0,123.077,2537.89885,-306.971561,577.329535,653.866141,0.0,0.0,0.0,0.0
2807.692,28.0,118.0,123.077,2646.569391,-334.098169,628.347264,711.647293,0.0,0.0,0.0,0.0
2930.769,28.0,118.0,123.077,2755.239932,-361.224777,679.364993,769.428445,0.0,0.0,0.0,0.0
3053.846,28.0,118.0,123.077,2863.910473,-388.351385,730.382722,827.209597,0.0,0.0,0.0,0.0
3176.923,28.0,118.0,123.077,2972.581014,-415.477993,781.400451,884.990749,0.0,0.0,0.0,0.0
3300.0,28.0,118.0,123.077,3081.251555,-442.604601,832.41818,942.771901,0.0,0.0,0.0,0.0
3412.5,28.5,118.0,112.5,3180.351449,-467.603161,879.433633,996.020196,0.133333,0.0,0.133333,0.0
3525.0,29.0,118.0,112.5,3278.982896,-493.006767,927.210867,1050.131261,0.133333,0.0,0.133333,0.0
3637.5,29.5,118.0,112.5,3377.138385,-518.813485,975.746245,1105.100976,0.133333,0.0,0.133333,0.0
3750.0,30.0,118.0,112.5,3474.810442,-545.02135,1025.03607,1160.925155,0.133333,0.0,0.133333,0.0
3862.5,30.5,118.0,112.5,3571.991628,-571.628366,1075.076589,1217.599548,0.133333,0.0,0.133333,0.0
3975.0,31.0,118.0,112.5,3668.674543,-598.632506,1125.86399,1275.119838,0.133333,0.0,0.133333,0.0
4087.5,31.5,118.0,112.5,3764.851823,-626.031714,1177.394406,1333.481644,0.133333,0.0,0.133333,0.0
4200.0,32.0,118.0,112.5,3860.516145,-653.823904,1229.663913,1392.680522,0.133333,0.0,0.133333,0.0
