MD,INC,AZI
0.0,0.0,118.0
112.5,0.0,118.0
225.0,0.0,118.0
337.5,0.0,118.0
450.0,0.0,118.0
562.5,0.0,118.0
675.0,0.0,118.0
787.5,0.0,118.0
900.0,0.0,118.0
1014.286,4.0,118.0
1128.571,8.0,118.0
1242.857,12.0,118.0
1357.143,16.0,118.0
1471.429,20.0,118.0
1585.714,24.0,118.0
1700.0,28.0,118.0
1823.077,28.0,118.0
1946.154,28.0,118.0
2069.231,28.0,118.0
2192.308,28.0,118.0
2315.385,28.0,118.0
2438.462,28.0,118.0
2561.538,28.0,118.0
2684.615,28.0,118.0
2807.692,28.0,118.0
2930.769,28.0,118.0
3053.846,28.0,118.0
3176.923,28.0,118.0
3300.0,28.0,118.0
3412.5,28.5,118.0
3525.0,29.0,118.0
3637.5,29.5,118.0
3750.0,30.0,118.0
3862.5,30.5,118.0
3975.0,31.0,118.0
4087.5,31.5,118.0
4200,32,118
