MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,118.0,0.0,0.00589,0.019378,0.003973,0.002986,0.002877,0.0,0.004725,0.00099
112.5,0.0,118.0,112.5,112.511131,0.017552,0.007788,0.00589,0.005049,0.0,0.003929,0.001918
225.0,0.0,118.0,112.5,225.015146,0.014634,0.011293,0.00863,0.005985,0.0,0.002702,0.002727
337.5,0.0,118.0,112.5,337.517495,0.010806,0.014347,0.011131,0.005456,0.0,0.001176,0.003366
450.0,0.0,118.0,112.5,450.017917,0.006306,0.016829,0.013323,0.003591,0.0,-0.000479,0.003796
562.5,0.0,118.0,112.5,562.516367,0.001415,0.018641,0.015146,0.000847,0.0,-0.002081,0.00399
675.0,0.0,118.0,112.5,675.013016,-0.003565,0.019709,0.01655,-0.002105,0.0,-0.003454,0.003936
787.5,0.0,118.0,112.5,787.508231,-0.008323,0.019991,0.017495,-0.004541,0.0,-0.004447,0.003637
900.0,0.0,118.0,112.5,900.00254,-0.012563,0.019477,0.017955,-0.005865,0.0,-0.00495,0.003112
1014.286,4.0,118.0,114.286,1014.189757,-1.888141,3.539128,4.005631,1.044243,0.0,1.045089,0.002394
1128.571,8.0,118.0,114.285,1127.820019,-7.497789,14.082693,15.948706,1.045774,0.0,1.045681,0.001527
1242.857,12.0,118.0,114.286,1240.342304,-16.814135,31.599059,35.789215,1.048321,0.0,1.046729,0.000564
1357.143,16.0,118.0,114.286,1351.207903,-29.791666,56.00289,63.430417,1.051288,0.0,1.048147,-0.000433
1471.429,20.0,118.0,114.286,1459.877017,-46.367151,87.175404,98.73768,1.053939,0.0,1.049768,-0.001403
1585.714,24.0,118.0,114.285,1565.819426,-66.459728,124.964527,141.538656,1.055635,0.0,1.051425,-0.002286
1700.0,28.0,118.0,114.286,1668.520765,-89.971991,169.186951,191.625627,1.055933,0.0,1.052906,-0.003027
1823.077,28.0,118.0,123.077,1777.195538,-117.094448,220.200736,249.404008,0.004791,0.0,0.004079,-0.00358
1946.154,28.0,118.0,123.077,1885.871458,-144.21635,271.214726,307.182239,0.002473,0.0,0.004801,-0.00391
2069.231,28.0,118.0,123.077,1994.54793,-171.33799,322.229068,364.9604,-0.000451,0.0,0.004994,-0.003997
2192.308,28.0,118.0,123.077,2103.224304,-198.459677,373.243898,422.738573,-0.003264,0.0,0.004637,-0.003836
2315.385,28.0,118.0,123.077,2211.899936,-225.581716,424.259331,480.516841,-0.005278,0.0,0.00377,-0.003436
2438.462,28.0,118.0,123.077,2320.574266,-252.704393,475.27546,538.295284,-0.006,0.0,0.002487,-0.002822
2561.538,28.0,118.0,123.076,2429.245994,-279.827729,526.291932,596.073508,-0.005253,0.0,0.000931,-0.002033
2684.615,28.0,118.0,123.077,2537.916658,-306.952358,577.309612,653.852519,-0.003219,0.0,-0.000728,-0.001118
2807.692,28.0,118.0,123.077,2646.585362,-334.07818,628.328086,711.631907,-0.000398,0.0,-0.002306,-0.000133
2930.769,28.0,118.0,123.077,2755.252308,-361.205245,679.347324,769.411723,0.002521,0.0,-0.003631,0.00086
3053.846,28.0,118.0,123.077,2863.917891,-388.333525,730.367267,827.192001,0.004823,0.0,-0.004556,0.0018
3176.923,28.0,118.0,123.077,2972.582658,-415.462915,781.387826,884.972768,0.005944,0.0,-0.004979,0.002628
3300.0,28.0,118.0,123.077,3081.247243,-442.593243,832.408888,942.754032,0.005609,0.0,-0.004854,0.003292
3412.5,28.5,118.0,112.5,3180.341657,-467.596228,879.428045,996.002935,0.137235,0.0,0.129138,0.003752
3525.0,29.0,118.0,112.5,3278.968701,-493.004691,927.209205,1050.115087,0.134572,0.0,0.130259,0.003978
3637.5,29.5,118.0,112.5,3377.12135,-518.816395,975.748576,1105.086336,0.131606,0.0,0.131718,0.003957
3750.0,30.0,118.0,112.5,3474.792442,-545.029065,1025.042301,1160.912455,0.129062,0.0,0.133355,0.00369
3862.5,30.5,118.0,112.5,3571.974645,-571.640406,1075.086471,1217.58914,0.127565,0.0,0.13499,0.003194
3975.0,31.0,118.0,112.5,3668.660446,-598.648123,1125.87713,1275.112011,0.127479,0.0,0.136442,0.002499
4087.5,31.5,118.0,112.5,3764.842165,-626.049937,1177.410279,1333.476615,0.128827,0.0,0.137552,0.001648
4200.0,32.0,118.0,112.5,3860.511988,-653.843599,1229.681887,1392.678429,0.131278,0.0,0.138198,0.000696
