MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.667,0.0,96.0,116.667,116.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233.333,0.0,96.0,116.666,233.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350.0,0.0,96.0,116.667,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466.667,0.0,96.0,116.667,466.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583.333,0.0,96.0,116.666,583.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,0.0,96.0,116.667,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814.286,5.4286,96.8571,114.286,814.115086,-0.645928,5.371377,5.410076,1.425004,8.972139,1.425004,0.224988
928.571,10.8571,97.7143,114.285,927.205593,-2.737738,21.416657,21.590933,1.425307,8.973331,1.42499,0.225016
1042.857,16.2857,98.5714,114.286,1038.259089,-6.573742,47.948056,48.396592,1.425943,8.972139,1.425004,0.224988
1157.143,21.7143,99.4286,114.286,1146.27842,-12.429845,84.677154,85.584586,1.426849,8.973169,1.425004,0.225014
1271.429,27.1429,100.2857,114.286,1250.294645,-20.554191,131.218539,132.818598,1.428003,8.972139,1.425004,0.224988
1385.714,32.5714,101.1429,114.285,1349.373906,-31.162071,187.093461,189.670867,1.429353,8.973331,1.42499,0.225016
1500.0,38.0,102.0,114.286,1442.629174,-44.431713,251.737197,255.628233,1.430887,8.972139,1.425004,0.224988
1612.5,38.0,102.75,112.5,1531.280864,-59.274938,319.388791,324.842605,0.123132,90.0,0.0,0.2
1725.0,38.0,103.5,112.5,1619.932554,-75.002423,386.840297,394.044133,0.123132,90.0,0.0,0.2
1837.5,38.0,104.25,112.5,1708.584244,-91.611474,454.080158,463.229373,0.123132,90.0,0.0,0.2
1950.0,38.0,105.0,112.5,1797.235934,-109.099244,521.096852,532.39513,0.123132,90.0,0.0,0.2
2062.5,38.0,105.75,112.5,1885.887624,-127.462738,587.878897,601.538317,0.123132,90.0,0.0,0.2
2175.0,38.0,106.5,112.5,1974.539314,-146.698808,654.41485,670.6559,0.123132,90.0,0.0,0.2
2287.5,38.0,107.25,112.5,2063.191004,-166.804159,720.69331,739.744872,0.123132,90.0,0.0,0.2
2400.0,38.0,108.0,112.5,2151.842694,-187.775346,786.702921,808.802242,0.123132,90.0,0.0,0.2
2512.5,34.75,108.5,112.5,2242.410426,-208.656069,850.061504,875.295331,0.87026,171.253838,-0.866667,0.133333
2625.0,31.5,109.0,112.5,2336.614514,-228.403549,908.271983,936.550146,0.869718,171.253838,-0.866667,0.133333
2737.5,28.25,109.5,112.5,2434.151934,-246.864504,961.172662,992.368363,0.869201,171.253838,-0.866667,0.133333
2850.0,25.0,110.0,112.5,2534.708942,-263.887039,1008.621184,1042.570411,0.868717,171.253838,-0.866667,0.133333
2962.5,21.75,110.5,112.5,2637.962081,-279.321463,1050.494947,1086.995913,0.868272,171.253838,-0.866667,0.133333
3075.0,18.5,111.0,112.5,2743.579223,-293.021109,1086.691445,1125.504183,0.867872,171.253838,-0.866667,0.133333
3187.5,15.25,111.5,112.5,2851.220636,-304.843146,1117.128526,1157.974735,0.867523,171.253838,-0.866667,0.133333
3300.0,12.0,112.0,112.5,2960.540077,-314.649386,1141.744579,1184.307781,0.867228,171.253838,-0.866667,0.133333
3425.0,11.5,112.0,125.0,3082.920373,-324.185049,1165.346172,1209.598134,0.12,180.0,-0.12,0.0
3550.0,11.0,112.0,125.0,3205.518144,-333.320285,1187.956675,1233.832839,0.12,180.0,-0.12,0.0
3675.0,10.5,112.0,125.0,3328.324054,-342.054399,1209.574366,1257.008893,0.12,180.0,-0.12,0.0
3800.0,10.0,112.0,125.0,3451.328751,-350.386726,1230.197598,1279.123524,0.12,180.0,-0.12,0.0
3925.0,9.5,112.0,125.0,3574.522867,-358.316631,1249.824801,1300.174158,0.12,180.0,-0.12,0.0
4050.0,9.0,112.0,125.0,3697.897021,-365.84351,1268.454481,1320.158416,0.12,180.0,-0.12,0.0
4175.0,8.5,112.0,125.0,3821.441818,-372.96679,1286.085219,1339.074089,0.12,180.0,-0.12,0.0
4300.0,8.0,112.0,125.0,3945.147849,-379.685929,1302.715672,1356.91913,0.12,180.0,-0.12,0.0
