MD,INC,AZI
0.0,0.0,96.0
116.667,0.0,96.0
233.333,0.0,96.0
350.0,0.0,96.0
466.667,0.0,96.0
583.333,0.0,96.0
700.0,0.0,96.0
814.286,5.4286,96.8571
928.571,10.8571,97.7143
1042.857,16.2857,98.5714
1157.143,21.7143,99.4286
1271.429,27.1429,100.2857
1385.714,32.5714,101.1429
1500.0,38.0,102.0
1612.5,38.0,102.75
1725.0,38.0,103.5
1837.5,38.0,104.25
1950.0,38.0,105.0
2062.5,38.0,105.75
2175.0,38.0,106.5
2287.5,38.0,107.25
2400.0,38.0,108.0
2512.5,34.75,108.5
2625.0,31.5,109.0
2737.5,28.25,109.5
2850.0,25.0,110.0
2962.5,21.75,110.5
3075.0,18.5,111.0
3187.5,15.25,111.5
3300.0,12.0,112.0
3425.0,11.5,112.0
3550.0,11.0,112.0
3675.0,10.5,112.0
3800.0,10.0,112.0
3925.0,9.5,112.0
4050.0,9.0,112.0
4175.0,8.5,112.0
4300,8,112
