MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,96.0,0.0,0.00589,0.019378,0.003973,0.002986,0.002877,0.0,0.004725,0.00099
116.667,0.0,96.0,116.667,116.678131,0.017552,0.007788,0.00589,0.005049,0.0,0.003929,0.001918
233.333,0.0,96.0,116.666,233.348146,0.014634,0.011293,0.00863,0.005985,0.0,0.002702,0.002727
350.0,0.0,96.0,116.667,350.017495,0.010806,0.014347,0.011131,0.005456,0.0,0.001176,0.003366
466.667,0.0,96.0,116.667,466.684917,0.006306,0.016829,0.013323,0.003591,0.0,-0.000479,0.003796
583.333,0.0,96.0,116.666,583.349367,0.001415,0.018641,0.015146,0.000847,0.0,-0.002081,0.00399
700.0,0.0,96.0,116.667,700.013016,-0.003565,0.019709,0.01655,-0.002105,0.0,-0.003454,0.003936
814.286,5.4286,96.8571,114.286,814.123317,-0.654251,5.391368,5.427571,1.420463,8.972139,1.420557,0.228625
928.571,10.8571,97.7143,114.285,927.208133,-2.750301,21.436134,21.608888,1.419442,8.973331,1.42004,0.228128
1042.857,16.2857,98.5714,114.286,1038.255659,-6.589765,47.966242,48.414509,1.420189,8.972139,1.420096,0.227382
1157.143,21.7143,99.4286,114.286,1146.269397,-12.448331,84.693324,85.601969,1.422616,8.973169,1.420678,0.226541
1271.429,27.1429,100.2857,114.286,1250.281023,-20.573991,131.232048,132.834965,1.426327,8.972139,1.421736,0.225552
1385.714,32.5714,101.1429,114.285,1349.357184,-31.181954,187.103771,189.685765,1.430644,8.973331,1.42314,0.224583
1500.0,38.0,102.0,114.286,1442.611193,-44.450442,251.743897,255.641249,1.434829,8.972139,1.424775,0.223585
1612.5,38.0,102.75,112.5,1531.263603,-59.291349,319.391613,324.853377,0.12876,90.0,0.001418,0.197714
1725.0,38.0,103.5,112.5,1619.917914,-75.015496,386.83913,394.052364,0.129068,90.0,0.002909,0.196973
1837.5,38.0,104.25,112.5,1708.573836,-91.620396,454.075047,463.234834,0.127923,90.0,0.004079,0.19642
1950.0,38.0,105.0,112.5,1797.230905,-109.10346,521.088002,532.39767,0.125605,90.0,0.004801,0.19609
2062.5,38.0,105.75,112.5,1885.888526,-127.461986,587.86666,601.537866,0.122681,90.0,0.004994,0.196003
2175.0,38.0,106.5,112.5,1974.546049,-146.693135,654.399714,670.65247,0.119868,90.0,0.004637,0.196164
2287.5,38.0,107.25,112.5,2063.20283,-166.793917,720.675878,739.738558,0.117854,90.0,0.00377,0.196564
2400.0,38.0,108.0,112.5,2151.858309,-187.761173,786.683889,808.793219,0.117132,90.0,0.002487,0.197178
2512.5,34.75,108.5,112.5,2242.428111,-208.638845,850.04163,875.283849,0.865007,171.253838,-0.865736,0.1313
2625.0,31.5,109.0,112.5,2336.632322,-228.384346,908.25206,936.536524,0.866499,171.253838,-0.867395,0.132215
2737.5,28.25,109.5,112.5,2434.167905,-246.844515,961.153484,992.352977,0.868803,171.253838,-0.868973,0.1332
2850.0,25.0,110.0,112.5,2534.721318,-263.867507,1008.603515,1042.553689,0.871238,171.253838,-0.870298,0.134193
2962.5,21.75,110.5,112.5,2637.969499,-279.303603,1050.479492,1086.978317,0.873095,171.253838,-0.871223,0.135133
3075.0,18.5,111.0,112.5,2743.580867,-293.006031,1086.67882,1125.486202,0.873816,171.253838,-0.871646,0.135961
3187.5,15.25,111.5,112.5,2851.216324,-304.831788,1117.119234,1157.956866,0.873132,171.253838,-0.871521,0.136625
3300.0,12.0,112.0,112.5,2960.530285,-314.642453,1141.738991,1184.29052,0.87113,171.253838,-0.870862,0.137085
3425.0,11.5,112.0,125.0,3082.906178,-324.182973,1165.34451,1209.58196,0.121239,180.0,-0.123074,0.003978
3550.0,11.0,112.0,125.0,3205.501109,-333.323195,1187.959006,1233.818199,0.118273,180.0,-0.121615,0.003957
3675.0,10.5,112.0,125.0,3328.306054,-342.062114,1209.580597,1256.996193,0.115729,180.0,-0.119978,0.00369
3800.0,10.0,112.0,125.0,3451.311768,-350.398766,1230.20748,1279.113116,0.114232,180.0,-0.118343,0.003194
3925.0,9.5,112.0,125.0,3574.50877,-358.332248,1249.837941,1300.166331,0.114146,180.0,-0.116891,0.002499
4050.0,9.0,112.0,125.0,3697.887363,-365.861733,1268.470354,1320.153387,0.115494,180.0,-0.115781,0.001648
4175.0,8.5,112.0,125.0,3821.437661,-372.986485,1286.103193,1339.071996,0.117945,180.0,-0.115135,0.000696
4300.0,8.0,112.0,125.0,3945.149651,-379.705872,1302.73503,1356.920032,0.120899,180.0,-0.115025,-0.000301
