MD,INC,AZI,CL,TVD,NS,EW,VSEC,DOGLEG,TF,BUILD,TURN
0.0,0.0,0.0,0.0,0.00589,0.019378,0.003973,0.002986,0.002877,0.0,0.004725,0.00099
300.0,0.0,0.0,300.0,300.011131,0.017552,0.007788,0.00589,0.005049,0.0,0.003929,0.001918
600.0,0.0,0.0,300.0,600.015146,0.014634,0.011293,0.00863,0.005985,0.0,0.002702,0.002727
900.0,0.0,0.0,300.0,900.017495,0.010806,0.014347,0.011131,0.005456,0.0,0.001176,0.003366
1200.0,0.0,0.0,300.0,1200.017917,0.006306,0.016829,0.013323,0.003591,0.0,-0.000479,0.003796
1500.0,0.0,0.0,300.0,1500.016367,0.001415,0.018641,0.015146,0.000847,0.0,-0.002081,0.00399
1800.0,0.0,0.0,300.0,1800.013016,-0.003565,0.019709,0.01655,-0.002105,0.0,-0.003454,0.003936
2100.0,0.0,0.0,300.0,2100.008231,-0.008323,0.019991,0.017495,-0.004541,0.0,-0.004447,0.003637
2400.0,0.0,0.0,300.0,2400.00254,-0.012563,0.019477,0.017955,-0.005865,0.0,-0.00495,0.003112
2700.0,0.0,0.0,300.0,2699.99657,-0.016023,0.018186,0.017917,-0.005754,0.0,-0.004908,0.002394
3000.0,0.0,0.0,300.0,2999.990977,-0.018486,0.01617,0.017383,-0.004233,0.0,-0.004326,0.001527
3300.0,0.0,0.0,300.0,3299.986378,-0.0198,0.013509,0.016367,-0.001676,0.0,-0.003268,0.000564
3600.0,0.0,0.0,300.0,3599.983278,-0.019883,0.01031,0.014898,0.001291,0.0,-0.00185,-0.000433
